index,image,score,lid
102,image_24_260.jpg,,24
103,image_16_160.jpg,0.99963164,16
103,image_16_160.jpg,0.7463525,16
103,image_16_160.jpg,0.3771096,16
103,image_16_160.jpg,0.22955838,16
104,image_7_180.jpg,0.99870396,7
104,image_7_180.jpg,0.4890436,7
104,image_7_180.jpg,0.20640112,7
104,image_7_180.jpg,0.20524573,7
105,image_4_120.jpg,0.33378723,4
105,image_4_120.jpg,0.21537553,4
106,image_99_0.jpg,,99
107,image_15_20.jpg,0.99979717,15
107,image_15_20.jpg,0.9109592,15
107,image_15_20.jpg,0.87184006,15
107,image_15_20.jpg,0.7693223,15
107,image_15_20.jpg,0.7241857,15
107,image_15_20.jpg,0.35871258,15
107,image_15_20.jpg,0.2444229,15
107,image_15_20.jpg,0.23838402,15
108,image_112_80.jpg,0.22553158,112
109,image_45_100.jpg,,45
110,image_114_40.jpg,,114
111,image_98_300.jpg,,98
112,image_29_140.jpg,,29
113,image_21_80.jpg,0.44226685,21
114,image_50_160.jpg,0.9985459,50
114,image_50_160.jpg,0.83869374,50
114,image_50_160.jpg,0.30888715,50
114,image_50_160.jpg,0.29755917,50
114,image_50_160.jpg,0.2834505,50
114,image_50_160.jpg,0.2544691,50
115,image_38_220.jpg,,38
116,image_72_200.jpg,0.9986045,72
116,image_72_200.jpg,0.99485886,72
116,image_72_200.jpg,0.72711927,72
116,image_72_200.jpg,0.39315432,72
116,image_72_200.jpg,0.3798149,72
116,image_72_200.jpg,0.37674806,72
116,image_72_200.jpg,0.23151058,72
